127.0.0.1 - - [07/Dec/2019:15:21:14 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/table.jsp HTTP/1.1" 200 8661
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/includes/validation.js HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/Designs/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/Designs/css/swiper.min.css HTTP/1.1" 200 19439
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/css/swiper.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/style.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/custom.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/jquery.collapsible.min.js HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/swiper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/jquery.countdown.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/circle-progress.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/jquery.countTo.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/js/jquery.barfiller.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/images/logo.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/images/logo2.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:21:17 +0530] "GET /BloodBank/test/images/footer-bg.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/table.jsp HTTP/1.1" 200 8658
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/css/swiper.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/style.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/custom.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/jquery.collapsible.min.js HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/jquery.countdown.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/swiper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/jquery.countTo.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/circle-progress.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/images/logo.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/jquery.barfiller.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/images/logo2.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/images/footer-bg.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:35 +0530] "GET /BloodBank/test/js/custom.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/table.jsp HTTP/1.1" 200 8658
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/includes/validation.js HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/css/swiper.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/style.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/Designs/css/swiper.min.css HTTP/1.1" 200 19439
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/Designs/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/custom.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/images/logo.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.collapsible.min.js HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/swiper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.countdown.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/circle-progress.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.countTo.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.barfiller.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/css/swiper.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/style.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/custom.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/images/logo.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/images/logo2.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/images/footer-bg.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.collapsible.min.js HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/swiper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.countdown.min.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/circle-progress.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.countTo.min.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/jquery.barfiller.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /BloodBank/test/js/custom.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:25:57 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:29:03 +0530] "GET /BloodBank/Blood/donor_add.jsp HTTP/1.1" 200 8533
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:29:03 +0530] "GET /BloodBank/Blood/css/bootstrap.min.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:29:03 +0530] "GET /BloodBank/Blood/css/swiper.min.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Dec/2019:15:29:03 +0530] "GET /BloodBank/Blood/style.css HTTP/1.1" 404 1001
